color_names	hex_codes 
gradient_0	#D9D9D9
gradient_1	#BFBFBF
gradient_2	#A6A6A6
gradient_3	#737373
gradient_4	#595959
gradient_5	#3C3C66
gradient_6	#26266D
gradient_7	#1A1A80
gradient_8	#000099
gradient_9	#000066
na_color	#7F7F7F
