cell_type_names	hex_codes
Adipocytes	#30123BFF
Astrocytes	#3F3E9CFF
B cells	#4666DDFF
Cardiomyocytes	#458CFDFF
Dendritic cells	#2FB2F4FF
Endothelial cells	#1AD4D0FF
Epithelial cells	#22EBAAFF
Erythrocytes	#52FA7AFF
Fibroblasts	#8BFF4BFF
Granulocytes	#B7F735FF
Hepatocytes	#DBE236FF
Macrophages	#F5C53AFF
Microglia	#FEA130FF
Monocytes	#F9751DFF
Neurons	#E84B0CFF
NK cells	#CE2D04FF
Oligodendrocytes	#A91601FF
T cells	#7A0403FF
unassigned	#000000
